year,broad_discipline,college_school,major_name,admit_gpa_range,admit_rate,enroll_gpa_range,yield_rate,admits,applicants,enrolls,enroll_25th_percentile,enroll_75th_percentile,admit_25th_percentile,admit_75th_percentile
2020,Psychology,College Of Letters & science,Pre-psychobiology,3.70 - 3.94,0.310344828,3.68 - 3.93,0.759259259,54,174,41,3.68,3.93,3.70,3.94
2020,Psychology,College Of Letters & science,Pre-psychology,3.77 - 4.00,0.191622103,3.77 - 4.00,0.781395349,430,2244,336,3.77,4.00,3.77,4.00
2020,Public Admin & Social Serv Prof,College Of Letters & science,Pre-public affairs,3.49 - 3.84,0.3125,3.52 - 3.84,0.6,40,128,24,3.52,3.84,3.49,3.84
2020,Social Sciences,College Of Letters & science,Anthropology,3.58 - 3.88,0.470588235,3.55 - 3.85,0.65625,224,476,147,3.55,3.85,3.58,3.88
2020,Social Sciences,College Of Letters & science,Geography,3.47 - 3.85,0.588235294,3.36 - 3.82,0.633333333,60,102,38,3.36,3.82,3.47,3.85
2020,Social Sciences,College Of Letters & science,Geography/environmental studies,3.54 - 3.96,0.566037736,3.58 - 3.96,0.6,30,53,18,3.58,3.96,3.54,3.96
2020,Social Sciences,College Of Letters & science,Pre international development studies,3.58 - 3.89,0.276190476,3.57 - 3.94,0.448275862,29,105,13,3.57,3.94,3.58,3.89
2020,Social Sciences,College Of Letters & science,Pre-economics,3.83 - 4.00,0.165880503,3.80 - 4.00,0.611374408,211,1272,129,3.80,4.00,3.83,4.00
2020,Social Sciences,College Of Letters & science,Pre-political science,3.73 - 3.97,0.387073348,3.71 - 3.94,0.60412758,533,1377,322,3.71,3.94,3.73,3.97
2020,Social Sciences,College Of Letters & science,Pre-sociology,3.70 - 3.93,0.381182147,3.67 - 3.93,0.610759494,632,1658,386,3.67,3.93,3.70,3.93
2021,Agriculture & Natural Resources,College Of Letters & science,Environmental science,3.64 - 3.93,0.263888889,3.60 - 3.94,0.473684211,38,144,18,3.60,3.94,3.64,3.93
2021,Architecture & Environ Design,School Of The arts & architecture,Architectural studies,3.77 - 4.00,0.09486166,3.77 - 3.88,0.416666667,24,253,10,3.77,3.88,3.77,4.00
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,African american studies,3.40 - 3.80,0.338983051,3.36 - 3.79,0.75,20,59,15,3.36,3.79,3.40,3.80
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian american studies,3.56 - 3.94,0.296296296,3.61 - 3.89,0.75,8,27,6,3.61,3.89,3.56,3.94
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Asian humanities,3.78 - 3.87,0.229166667,3.74 - 3.86,0.545454545,11,48,6,3.74,3.86,3.78,3.87
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Chicana & chicano studies,3.53 - 3.76,0.350649351,3.48 - 3.72,0.814814815,27,77,22,3.48,3.72,3.53,3.76
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Gender studies,3.70 - 3.92,0.4,3.69 - 3.92,0.580645161,62,155,36,3.69,3.92,3.70,3.92
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-asian studies,3.84 - 4.00,0.12195122,3.86 - 4.00,0.6,10,82,6,3.86,4.00,3.84,4.00
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Pre-european studies,,0.363636364,,0.75,4,11,3,,,,
2021,"Area, Ethn, Cultur & Gender Stu",College Of Letters & science,Spanish and community and culture,3.53 - 3.69,0.384615385,,0.4,10,26,4,,,3.53,3.69
2021,Biological Sciences,College Of Letters & science,Biochemistry,3.78 - 4.00,0.294460641,3.81 - 4.00,0.495049505,101,343,50,3.81,4.00,3.78,4.00
2021,Biological Sciences,College Of Letters & science,Biology,3.82 - 4.00,0.127753304,3.78 - 4.00,0.568965517,174,1362,99,3.78,4.00,3.82,4.00
2021,Biological Sciences,College Of Letters & science,"Ecology, behavior & evolution",3.75 - 3.89,0.158730159,,0.3,10,63,3,,,3.75,3.89
2021,Biological Sciences,College Of Letters & science,Microbiology - immunology - molecular genetics,3.78 - 3.94,0.222772277,3.77 - 3.93,0.533333333,45,202,24,3.77,3.93,3.78,3.94
2021,Biological Sciences,College Of Letters & science,"Molecular, cell, & developmental biology",3.85 - 4.00,0.28959276,3.75 - 3.98,0.484375,64,221,31,3.75,3.98,3.85,4.00
2021,Biological Sciences,College Of Letters & science,Neuroscience,3.76 - 3.95,0.202830189,3.73 - 3.92,0.674418605,43,212,29,3.73,3.92,3.76,3.95
2021,Biological Sciences,College Of Letters & science,Physiological science,3.67 - 3.94,0.180722892,3.64 - 3.95,0.666666667,30,166,20,3.64,3.95,3.67,3.94
2021,Biological Sciences,College Of Letters & science,Pre-computational & systems biology,,0.16,,0.75,4,25,3,,,,
2021,Business & Management,College Of Letters & science,Labor studies,3.62 - 3.97,0.606060606,3.61 - 3.98,0.75,20,33,15,3.61,3.98,3.62,3.97
2021,Business & Management,College Of Letters & science,Pre-business economics,3.91 - 4.00,0.087048087,3.90 - 4.00,0.60483871,248,2849,150,3.90,4.00,3.91,4.00
2021,"Communication, Journalism & Rel",College Of Letters & science,Communication,3.93 - 4.00,0.09009009,3.94 - 4.00,0.772727273,110,1221,85,3.94,4.00,3.93,4.00
